name;original_price;new_price;link;desc;category;img_uris;attributes;deal;discount;advises;weight
"Estońska Wełna Artystyczna 8/1 Solid (48) brąz";"None";"('22,51zł', '23,52zł')";"https://www.sklep-ik.pl/produkt/estonska-welna-artystyczna-81-solid-48-braz/";"Skład: 100% wełna owcza
Waga motka: zróżnicowana
Długość: 100 g = ok. 720-800 m

Pranie ręczne, max. 30°C / suszyć rozłożone na płasko";"ESTOŃSKA WEŁNA ARTYSTYCZNA 8-1";"['https://www.sklep-ik.pl/wp-content/uploads/2017/03/ESTONSKA_solid_48.jpg', 'https://www.sklep-ik.pl/wp-content/uploads/2016/09/ESTONSKA_solid_NOWOSC.jpg']";"[('Długość w 100 g', '800 m'), ('Przeznaczenie', 'chusta'), ('Skład', 'wełna'), ('Kolor', 'brązowy'), ('Grubość', '500m – 999m'), ('Właściwości', 'dobrze się blokuje'), ('Producent', 'Aade Long')]";"";"-20%";"['https://www.sklep-ik.pl/wp-content/uploads/2014/08/pranie-reczne-max-30-st.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/czyszczenie-chemiczne.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-wybielac.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-wirowac.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/suszyc-rozlozone-na-plasko.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/niska-temp-prasowania-do-110st.png']";"None"
"Estońska Wełna Artystyczna 8/1 Solid (48) brąz";"None";"('22,51zł', '23,52zł')";"https://www.sklep-ik.pl/produkt/estonska-welna-artystyczna-81-solid-48-braz/";"Skład: 100% wełna owcza
Waga motka: zróżnicowana
Długość: 100 g = ok. 720-800 m

Pranie ręczne, max. 30°C / suszyć rozłożone na płasko";"ESTOŃSKA WEŁNA ARTYSTYCZNA 8-1";"['https://www.sklep-ik.pl/wp-content/uploads/2017/03/ESTONSKA_solid_48.jpg', 'https://www.sklep-ik.pl/wp-content/uploads/2016/09/ESTONSKA_solid_NOWOSC.jpg']";"[('Długość w 100 g', '800 m'), ('Przeznaczenie', 'chusta'), ('Skład', 'wełna'), ('Kolor', 'brązowy'), ('Grubość', '500m – 999m'), ('Właściwości', 'dobrze się blokuje'), ('Producent', 'Aade Long')]";"";"-20%";"['https://www.sklep-ik.pl/wp-content/uploads/2014/08/pranie-reczne-max-30-st.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/czyszczenie-chemiczne.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-wybielac.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-wirowac.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/suszyc-rozlozone-na-plasko.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/niska-temp-prasowania-do-110st.png']";"None"
"Estońska Wełna Artystyczna 8/1 Solid (48) brąz";"None";"('22,51zł', '23,52zł')";"https://www.sklep-ik.pl/produkt/estonska-welna-artystyczna-81-solid-48-braz/";"Skład: 100% wełna owcza
Waga motka: zróżnicowana
Długość: 100 g = ok. 720-800 m

Pranie ręczne, max. 30°C / suszyć rozłożone na płasko";"ESTOŃSKA WEŁNA SOLID 8-1";"['https://www.sklep-ik.pl/wp-content/uploads/2017/03/ESTONSKA_solid_48.jpg', 'https://www.sklep-ik.pl/wp-content/uploads/2016/09/ESTONSKA_solid_NOWOSC.jpg']";"[('Długość w 100 g', '800 m'), ('Przeznaczenie', 'chusta'), ('Skład', 'wełna'), ('Kolor', 'brązowy'), ('Grubość', '500m – 999m'), ('Właściwości', 'dobrze się blokuje'), ('Producent', 'Aade Long')]";"";"-20%";"['https://www.sklep-ik.pl/wp-content/uploads/2014/08/pranie-reczne-max-30-st.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/czyszczenie-chemiczne.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-wybielac.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-wirowac.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/suszyc-rozlozone-na-plasko.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/niska-temp-prasowania-do-110st.png']";"None"
"Estońska Wełna Artystyczna 8/1 Solid (48) brąz";"None";"('22,51zł', '23,52zł')";"https://www.sklep-ik.pl/produkt/estonska-welna-artystyczna-81-solid-48-braz/";"Skład: 100% wełna owcza
Waga motka: zróżnicowana
Długość: 100 g = ok. 720-800 m

Pranie ręczne, max. 30°C / suszyć rozłożone na płasko";"ESTOŃSKA WEŁNA SOLID 8-1";"['https://www.sklep-ik.pl/wp-content/uploads/2017/03/ESTONSKA_solid_48.jpg', 'https://www.sklep-ik.pl/wp-content/uploads/2016/09/ESTONSKA_solid_NOWOSC.jpg']";"[('Długość w 100 g', '800 m'), ('Przeznaczenie', 'chusta'), ('Skład', 'wełna'), ('Kolor', 'brązowy'), ('Grubość', '500m – 999m'), ('Właściwości', 'dobrze się blokuje'), ('Producent', 'Aade Long')]";"";"-20%";"['https://www.sklep-ik.pl/wp-content/uploads/2014/08/pranie-reczne-max-30-st.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/czyszczenie-chemiczne.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-wybielac.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-wirowac.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/suszyc-rozlozone-na-plasko.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/niska-temp-prasowania-do-110st.png']";"None"
"DROPS Air (05) mix brąz";"None";"24,90zł";"https://www.sklep-ik.pl/produkt/drops-air-05-mix-braz/";"Skład: 65% alpaka, 28% poliamid, 7% wełna z merynosa
Waga motka: 50 g
Długość: 100 g = ok. 300 m (motek 50g = 150 m)
Zalecany przez producenta rozmiar drutów/szydełka: 5.00 mm
Próbka wg producenta: 10 x 10 cm = 17 o. x 22 rz.

Pranie ręczne, max. 30°C / suszyć rozłożone na płasko / nadaje się do filcowania.";"AIR";"['https://www.sklep-ik.pl/wp-content/uploads/2018/10/DROPS_Air_05.jpg', 'https://www.sklep-ik.pl/wp-content/uploads/2018/10/DROPS_Air_NOWOSC.jpg']";"[('Długość w 100 g', '300 m'), ('Przeznaczenie', 'czapka, kocyk, rękawiczki, skarpetki, spódnica, sweter, szalik, ubranka dziecięce'), ('Skład', 'alpaca, poliamid, wełna'), ('Kolor', 'brązowy'), ('Grubość', '200m – 499m'), ('Właściwości', 'miła w dotyku, dobrze się blokuje'), ('Producent', 'Drops')]";"";"-10%";"['https://www.sklep-ik.pl/wp-content/uploads/2014/08/pranie-reczne-max-30-st.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/czyszczenie-chemiczne.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-wybielac.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-wirowac.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/suszyc-rozlozone-na-plasko.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-prasowac.png']";"50g"
"DROPS Air (05) mix brąz";"None";"24,90zł";"https://www.sklep-ik.pl/produkt/drops-air-05-mix-braz/";"Skład: 65% alpaka, 28% poliamid, 7% wełna z merynosa
Waga motka: 50 g
Długość: 100 g = ok. 300 m (motek 50g = 150 m)
Zalecany przez producenta rozmiar drutów/szydełka: 5.00 mm
Próbka wg producenta: 10 x 10 cm = 17 o. x 22 rz.

Pranie ręczne, max. 30°C / suszyć rozłożone na płasko / nadaje się do filcowania.";"AIR";"['https://www.sklep-ik.pl/wp-content/uploads/2018/10/DROPS_Air_05.jpg', 'https://www.sklep-ik.pl/wp-content/uploads/2018/10/DROPS_Air_NOWOSC.jpg']";"[('Długość w 100 g', '300 m'), ('Przeznaczenie', 'czapka, kocyk, rękawiczki, skarpetki, spódnica, sweter, szalik, ubranka dziecięce'), ('Skład', 'alpaca, poliamid, wełna'), ('Kolor', 'brązowy'), ('Grubość', '200m – 499m'), ('Właściwości', 'miła w dotyku, dobrze się blokuje'), ('Producent', 'Drops')]";"";"-10%";"['https://www.sklep-ik.pl/wp-content/uploads/2014/08/pranie-reczne-max-30-st.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/czyszczenie-chemiczne.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-wybielac.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-wirowac.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/suszyc-rozlozone-na-plasko.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-prasowac.png']";"50g"
"DROPS Air (08) mix jasny róż";"None";"24,90zł";"https://www.sklep-ik.pl/produkt/drops-air-08-mix-jasny-roz/";"Skład: 65% alpaka, 28% poliamid, 7% wełna z merynosa
Waga motka: 50 g
Długość: 100 g = ok. 300 m (motek 50g = 150 m)
Zalecany przez producenta rozmiar drutów/szydełka: 5.00 mm
Próbka wg producenta: 10 x 10 cm = 17 o. x 22 rz.

Pranie ręczne, max. 30°C / suszyć rozłożone na płasko / nadaje się do filcowania.";"AIR";"['https://www.sklep-ik.pl/wp-content/uploads/2018/10/DROPS_AIR_08.jpg', 'https://www.sklep-ik.pl/wp-content/uploads/2018/10/DROPS_Air_NOWOSC.jpg']";"[('Długość w 100 g', '300 m'), ('Przeznaczenie', 'czapka, kocyk, rękawiczki, skarpetki, spódnica, sweter, szalik, ubranka dziecięce'), ('Skład', 'alpaca, poliamid, wełna'), ('Kolor', 'różowy'), ('Grubość', '200m – 499m'), ('Właściwości', 'miła w dotyku, dobrze się blokuje'), ('Producent', 'Drops')]";"";"-10%";"['https://www.sklep-ik.pl/wp-content/uploads/2014/08/pranie-reczne-max-30-st.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/czyszczenie-chemiczne.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-wybielac.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-wirowac.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/suszyc-rozlozone-na-plasko.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-prasowac.png']";"50g"
"DROPS Air (08) mix jasny róż";"None";"24,90zł";"https://www.sklep-ik.pl/produkt/drops-air-08-mix-jasny-roz/";"Skład: 65% alpaka, 28% poliamid, 7% wełna z merynosa
Waga motka: 50 g
Długość: 100 g = ok. 300 m (motek 50g = 150 m)
Zalecany przez producenta rozmiar drutów/szydełka: 5.00 mm
Próbka wg producenta: 10 x 10 cm = 17 o. x 22 rz.

Pranie ręczne, max. 30°C / suszyć rozłożone na płasko / nadaje się do filcowania.";"AIR";"['https://www.sklep-ik.pl/wp-content/uploads/2018/10/DROPS_AIR_08.jpg', 'https://www.sklep-ik.pl/wp-content/uploads/2018/10/DROPS_Air_NOWOSC.jpg']";"[('Długość w 100 g', '300 m'), ('Przeznaczenie', 'czapka, kocyk, rękawiczki, skarpetki, spódnica, sweter, szalik, ubranka dziecięce'), ('Skład', 'alpaca, poliamid, wełna'), ('Kolor', 'różowy'), ('Grubość', '200m – 499m'), ('Właściwości', 'miła w dotyku, dobrze się blokuje'), ('Producent', 'Drops')]";"";"-10%";"['https://www.sklep-ik.pl/wp-content/uploads/2014/08/pranie-reczne-max-30-st.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/czyszczenie-chemiczne.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-wybielac.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-wirowac.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/suszyc-rozlozone-na-plasko.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-prasowac.png']";"50g"
"DROPS Air (09) mix granatowy";"None";"24,90zł";"https://www.sklep-ik.pl/produkt/drops-air-09-mix-granatowy/";"Skład: 65% alpaka, 28% poliamid, 7% wełna z merynosa
Waga motka: 50 g
Długość: 100 g = ok. 300 m (motek 50g = 150 m)
Zalecany przez producenta rozmiar drutów/szydełka: 5.00 mm
Próbka wg producenta: 10 x 10 cm = 17 o. x 22 rz.

Pranie ręczne, max. 30°C / suszyć rozłożone na płasko / nadaje się do filcowania.";"AIR";"['https://www.sklep-ik.pl/wp-content/uploads/2018/10/DROPS_AIR_09.jpg', 'https://www.sklep-ik.pl/wp-content/uploads/2018/10/DROPS_Air_NOWOSC.jpg']";"[('Długość w 100 g', '300 m'), ('Przeznaczenie', 'czapka, kocyk, rękawiczki, skarpetki, spódnica, sweter, szalik, ubranka dziecięce'), ('Skład', 'alpaca, poliamid, wełna'), ('Kolor', 'niebieski'), ('Grubość', '200m – 499m'), ('Właściwości', 'miła w dotyku, dobrze się blokuje'), ('Producent', 'Drops')]";"";"-10%";"['https://www.sklep-ik.pl/wp-content/uploads/2014/08/pranie-reczne-max-30-st.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/czyszczenie-chemiczne.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-wybielac.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-wirowac.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/suszyc-rozlozone-na-plasko.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-prasowac.png']";"50g"
"DROPS Air (09) mix granatowy";"None";"24,90zł";"https://www.sklep-ik.pl/produkt/drops-air-09-mix-granatowy/";"Skład: 65% alpaka, 28% poliamid, 7% wełna z merynosa
Waga motka: 50 g
Długość: 100 g = ok. 300 m (motek 50g = 150 m)
Zalecany przez producenta rozmiar drutów/szydełka: 5.00 mm
Próbka wg producenta: 10 x 10 cm = 17 o. x 22 rz.

Pranie ręczne, max. 30°C / suszyć rozłożone na płasko / nadaje się do filcowania.";"AIR";"['https://www.sklep-ik.pl/wp-content/uploads/2018/10/DROPS_AIR_09.jpg', 'https://www.sklep-ik.pl/wp-content/uploads/2018/10/DROPS_Air_NOWOSC.jpg']";"[('Długość w 100 g', '300 m'), ('Przeznaczenie', 'czapka, kocyk, rękawiczki, skarpetki, spódnica, sweter, szalik, ubranka dziecięce'), ('Skład', 'alpaca, poliamid, wełna'), ('Kolor', 'niebieski'), ('Grubość', '200m – 499m'), ('Właściwości', 'miła w dotyku, dobrze się blokuje'), ('Producent', 'Drops')]";"";"-10%";"['https://www.sklep-ik.pl/wp-content/uploads/2014/08/pranie-reczne-max-30-st.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/czyszczenie-chemiczne.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-wybielac.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-wirowac.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/suszyc-rozlozone-na-plasko.png', 'https://www.sklep-ik.pl/wp-content/uploads/2014/08/nie-prasowac.png']";"50g"
